CRASH_DT,Latitude,Longitude,cloudiness,temperature,feels_like,pressure,humidity,wind_deg,wind_speed,rain,weather_desc,LOCATION,CRASH_DATE,DOW,Hour,zipcode
1650153600,29.658049291,-82.251172695,40.0,299.56,299.56,1014.0,70.0,0.0,0.0,0.0,scattered clouds,Florida,2022-04-17 00:00:00,6,0,32609.0
1650067200,29.658049291,-82.41941014,40.0,296.29,296.44,1019.0,68.0,50.0,4.63,0.0,scattered clouds,Florida,2022-04-16 00:00:00,5,0,32607.0
1652832000,29.658049291,-81.958553982,72.0,301.11,303.74,1013.0,70.0,171.0,1.8,0.0,broken clouds,Florida,2022-05-18 00:00:00,2,0,
1651622400,29.658049291,-81.576382835,97.0,299.19,299.19,1007.0,64.0,114.0,2.87,0.0,overcast clouds,Florida,2022-05-04 00:00:00,2,0,32131.0
1650931200,29.658049291,-81.809890452,13.0,297.92,298.05,1018.0,61.0,78.0,0.45,0.0,few clouds,Florida,2022-04-26 00:00:00,1,0,32147.0
1649721600,29.658049291,-81.543157237,4.0,294.59,294.23,1012.0,55.0,107.0,3.48,0.0,clear sky,Florida,2022-04-12 00:00:00,1,0,
1653091200,29.658049291,-81.531831713,86.0,295.01,295.39,1008.0,82.0,158.0,1.03,0.0,overcast clouds,Florida,2022-05-21 00:00:00,5,0,
1651536000,29.658049291,-81.682758924,52.0,298.66,298.94,1008.0,64.0,112.0,2.57,0.0,broken clouds,Florida,2022-05-03 00:00:00,1,0,32178.0
1650672000,29.658049291,-81.513422271,1.0,294.79,294.76,1016.0,67.0,69.0,3.26,0.0,clear sky,Florida,2022-04-23 00:00:00,5,0,
1647388800,29.658049291,-81.252930309,100.0,292.41,292.32,1019.0,74.0,40.0,1.79,0.0,overcast clouds,Florida,2022-03-16 00:00:00,2,0,
1641772800,29.658049291,-82.376746724,90.0,294.63,294.64,1025.0,69.0,0.0,0.0,0.0,overcast clouds,Florida,2022-01-10 00:00:00,0,0,32607.0
1641513600,29.658049291,-81.561491785,53.0,288.39,287.75,1006.0,68.0,226.0,1.73,0.0,broken clouds,Florida,2022-01-07 00:00:00,4,0,32131.0
1644105600,29.658049291,-80.209941522,,,,,,,,,,Florida,2022-02-06 00:00:00,6,0,
1647216000,29.658049291,-80.257225495,,,,,,,,,,Florida,2022-03-14 00:00:00,0,0,
1641081600,29.658049291,-80.208916442,,,,,,,,,,Florida,2022-01-02 00:00:00,6,0,
1641772800,29.658049291,-80.398368385,,,,,,,,,,Florida,2022-01-10 00:00:00,0,0,
1641686400,29.658049291,-81.490722185,43.0,291.33,291.11,1020.0,73.0,86.0,2.23,0.0,scattered clouds,Florida,2022-01-09 00:00:00,6,0,32145.0
1647820800,29.658049291,-81.504925278,0.0,291.26,290.28,1012.0,44.0,9.0,1.77,0.0,clear sky,Florida,2022-03-21 00:00:00,0,0,32145.0
1642550400,29.658049291,-81.999315165,4.0,281.38,281.38,1023.0,64.0,63.0,1.17,0.0,clear sky,Florida,2022-01-19 00:00:00,2,0,
1643155200,29.658049291,-81.770738339,100.0,283.57,282.97,1016.0,88.0,94.0,1.24,0.0,overcast clouds,Florida,2022-01-26 00:00:00,2,0,
1646006400,29.658049291,-81.145817944,40.0,294.64,294.72,1016.0,72.0,146.0,0.89,0.0,scattered clouds,Florida,2022-02-28 00:00:00,0,0,
1645488000,29.658049291,-81.131273255,0.0,292.52,292.39,1024.0,72.0,98.0,0.89,0.0,clear sky,Florida,2022-02-22 00:00:00,1,0,
1645488000,29.658049291,-81.13156741,0.0,292.52,292.39,1024.0,72.0,98.0,0.89,0.0,clear sky,Florida,2022-02-22 00:00:00,1,0,
1645228800,29.658049291,-81.299062708,0.0,297.58,297.8,1016.0,66.0,286.0,2.24,0.0,clear sky,Florida,2022-02-19 00:00:00,5,0,32145.0
1643155200,29.658049291,-81.364344352,100.0,283.96,282.9,1017.0,69.0,0.0,0.45,0.4,light rain,Florida,2022-01-26 00:00:00,2,0,32145.0
1641686400,29.658049291,-81.090398083,1.0,293.02,292.84,1029.0,68.0,96.0,4.02,0.0,clear sky,Florida,2022-01-09 00:00:00,6,0,
1645747200,29.658049291,-80.460891372,,,,,,,,,,Florida,2022-02-25 00:00:00,4,0,
1648598400,29.658049291,-81.480007459,0.0,294.96,294.92,1010.0,66.0,85.0,2.74,0.0,clear sky,Florida,2022-03-30 00:00:00,2,0,32145.0
1645920000,29.658049291,-81.564152209,6.0,293.65,293.61,1014.0,71.0,74.0,2.53,0.0,clear sky,Florida,2022-02-27 00:00:00,6,0,32131.0
1645488000,29.658049291,-81.676175819,12.0,293.09,292.73,1015.0,61.0,96.0,3.08,0.0,few clouds,Florida,2022-02-22 00:00:00,1,0,32177.0
